size,address,rate,status,bathrooms,floor,balconies,security_deposit,facing,status.1,rera_id,ownership_type,booking_amount,overlooking,bedroom,type1,type2,price_in_lakh,carpet_area,age_of_property,floor,total_floor,additional_rooms,price_negotiable,balconies,type_of_sale,booking_amount_in_lakh,amenities_sports_facility,amenities_shopping_mall,amenities_maintenance_staff,amenities_jogging_track,amenities_atm,amenities_gymnasium,amenities_indoor_games,amenities_rain_water_harvesting,amenities_swimming_pool,amenities_intercom,amenities_cafeteria,amenities_full_power_backup,amenities_lift,amenities_childrens_play_area,amenities_car_parking,amenities_landscaped_gardens,amenities_24_x_7_security,amenities_club_house,amenities_staff_quarter,amenities_hospital,amenities_multipurpose_room,amenities_vaastu_compliant,amenities_golf_course,amenities_school,furnish_detail_gas_connection,furnish_detail_ac,furnish_detail_bed,furnish_detail_dining_table,furnish_detail_washing_machine,furnish_detail_tv,furnish_detail_microwave,furnish_detail_wardrobe,furnish_detail_sofa,furnish_detail_wifi,furnish_detail_refrigerator
564,"sector 130, noida",7624.0,Under Construction,1.0,,,No Deposit,,Furnished,,,,,1,BHK,Apartment,43.0,395.0,,,,,No,,New,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3555,"sector 150, noida",11983.0,Under Construction,5.0,,,No Deposit,North,Unfurnished,UPRERAPRJ591510,,,,4,BHK,Apartment,426.0,,,,,,No,,New,,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,True,False,,,,,,,,,,,
1010,"extension, noida, noida",3365.0,Ready to move,2.0,,,No Deposit,East,Semi-Furnished,Rera Not Applicable,,,,2,BHK,Apartment,33.99,800.0,1,,,,No,,Resale,,True,False,False,False,False,True,False,True,True,True,False,True,True,True,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2806,"sector 93a, noida",16393.0,Ready to move,5.0,,,No Deposit,NorthWest,Semi-Furnished,.,,,,4,BHK,Apartment,459.99999999999994,2500.0,19,,,,No,,Resale,,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,False,False,,,,,,,,,,,
2000,"sector 150, noida",8000.0,Ready to move,3.0,,,No Deposit,NorthEast,Semi-Furnished,"UPRERAPRJ14316, UPRERAPRJ3250",,,,3,BHK,Apartment,160.0,,,,,,No,,Resale,,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False
1800,"sector 146, noida",15000.0,Under Construction,3.0,,,No Deposit,,Semi-Furnished,UPRERAPRJ303390,,,,3,BHK,Apartment,270.0,,,,,,No,,Resale,,True,False,False,True,False,True,True,False,True,True,False,True,True,True,True,False,False,True,False,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False
1500,"sector 25 yamuna express way, noida",6333.0,Ready to move,3.0,,,No Deposit,East,Semi-Furnished,UPRERAPRJ3142 & UPRERAPRJ4008,,,,3,BHK,Apartment,95.0,,4,,,,No,,Resale,,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,True,True,True,,,,,,,,,,,
1370,"sector 75, noida",12043.0,Ready to move,3.0,,,No Deposit,NorthEast,Semi-Furnished,"UPRERAPRJ4327, UPRERAPRJ4350",,,,2,BHK,Apartment,165.0,1096.0,6,,,,No,,Resale,,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False
1650,"sector 76, noida",8000.0,Ready to move,4.0,,,No Deposit,East,Semi-Furnished,,,,,3,BHK,Apartment,132.0,1230.0,10,,,,No,,New,,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,,,,,,,,,,,
1380,"extension, noida, noida",9058.0,Under Construction,2.0,,,No Deposit,,Unfurnished,UPRERAPRJ145736,,,,3,BHK,Apartment,125.0,696.0,,,,,No,,New,,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,,,,,,,,,,,
